"name","text"
"JaxBeFit","@SouthwestAir nothing express about your express bag drop at Phoenix Sky Harbor"
"SamIam6915","@SouthwestAir @FortuneMagazine Love flying Southwest! Best flight attendants ever!"
"Autistikids","@SouthwestAir @FortuneMagazine Love u Southwest. You've always been helpful. When I traveled a lot w/my son infant/toddler U were great!"
"kzone7","@united For my Grandma Ella's 80th she would love a birthday greeting from your flight crew! She was a stewardess for Eastern Airlines."
"Tostie","@JetBlue Apparently the pilot had made some announcement about engine trouble and losing fuel too quickly."
"Old_bauer","@JetBlue Cancelled Flightling tickets for 3 best friends going on vacation and never told us #jetblue #fixthis #ripoff @ZKatcher @bretharold"
"craver","@united can you help from there? UA4935 can't take off without missing galley cart that no one can find. Pax all seated for last hour."
"JuliaMooch1","@SouthwestAir is there any chance I could get tickets to the #DestinationDragons show in Vegas? Ive been a huge fan for years! Pretty please"
"kzone7","@VirginAmerica For my Grandma Ella's 80th she would &lt;3 a bday greeting from your flight crew! She was a stewardess for Eastern Airlines."
"eghoniem","@united I just want shout out a thank the pilots and staff on the Feb 13 flight from Newark to Boston at 4:40pm.  They were super helpful!"
"kzone7","@SouthwestAir For my Grandma Ella's 80th she would love a bday greeting from your flight crew! She was a stewardess for Eastern Airlines."
"tripcentral","@SouthwestAir @FortuneMagazine Congratulations!"
"JiggaJazzman","THANKS to @SouthwestAir  I get to go to the #DestinationDragons @Imaginedragons show this weekend in UTAH @VelourLive  !!! #ThankYou"
"cigaradventures","@SouthwestAir Thank you for the prompt response. I will email Late Flightr today."
"vina_love","@united I sent you a dm with my file reference number.. I just want to know if someone has located my bag even if it's not here yet."
"KMac0125","@USAirways I've been on hold for 40 minutes just to get a receipt. I know you guys are busy but I think it's time to higher more staff!"
"HisBoots",".@JetBlue @ZKatcher 😂😂😂😂😂OMG. Bored &amp; read through this convo.. Seems like JetBlue is on point."
"itshosey","@SouthwestAir I wish I would've known so I could've slept 2 hours more and let my friend know not to wait for me after she lands..."
"heatheralexis8","@SouthwestAir oh my god thank you so much!!! I just sent you a DM"
"Old_bauer","talked to a @JetBlue manager and she offered we pay 3X's in cash what we originally paid #nothanks #jetblue #ripoff #flyunited"
"Jeanne23","@USAirways @AmericanAir I'm a chairman who was in 1st class on both my flights today. System Cancelled Flightled my tickets and kicked me out of 1st."
"TheBIGCafeteria","@united @iamtedking http://t.co/UCZzP9YpHk click lounges tab. Need to be flying on supported S/A airline"
"BradLloydBrando","@SouthwestAir sure can! Just a second."
"cahillwilliamr","@USAirways can we hold two seats for 11:35 flight from PHX to Las 1856 as this delayed flight 556 is not going to arrive on-time"
"caraweikel","@united really hoping to get some help here.  On my 5th attempt to get a resolution and lost count of transfers.  help please! #mileageplus"
"katxc","@SouthwestAir I paid for inflight wifi only for it not to work. Download speed was 0.21mbps &amp; I ended up watching the free TV instead."
"katxc","@SouthwestAir Incredibly frustrating. I emailed but still haven't received a response."
"ZKatcher","@JetBlue How is travel bank credit issued by your company fraud - I acquired credit from family friend Charles Kravitz - see his account"
"gotschiavi","@SouthwestAir . I don't like the new schedule. No more nonstops from PHL to FLL or PBI? We are not free to move between those cities. Sad."
"riascott39","@USAirways we on on the flight from phf to clt. At the terminal but can't get off plane yet. Need to get on iah flight."
"gotschiavi","@SouthwestAir @jlittle100 Double up with this comment. PHL to anywhere South Florida is GONE GONE GONE. Hello US Air"
"kzone7","@JetBlue Thanks! I just sent a few DMs."
"itsGREEKSAUSAGE","@VirginAmerica I just did how can I DM? Do u have to also add me?"
"ZKatcher","@JetBlue - He Cancelled Flightled a flight &amp; was given 2 weeks to apply travel bank credit to another flight &amp; credit was transferable"
"JulieMedia","@SouthwestAir listening center is open seating just like on their planes. #RaganDisney"
"CaseyLemke","@USAirways found great prices thru US Air for honeymoon. Website wont work and been on hold for more than a hour now after being told 10 min"
"segeorgeff","@southwestair has 22 employees on Social Care Team 4 staff the Listening Ctr. at any time-rest of spots filled by other areas. #RaganDisney"
"JessicaJNoble","@SouthwestAir @FortuneMagazine Superb choice - SWA. I am a raving fan. They even take stress out of weather-reLate Flightd glitches!  #custexp"
"gotschiavi","@SouthwestAir Every flight flown by me personally(about two round trips per month) is FULL. Still hard to believe. Fly 8 hours thru ATL?NO"
"KatieLeonick","@JetBlue Hey guys! Your Flight Booking Problems system ran my first and middle names together at time of Flight Booking Problems. Is that going to be a #TSAnightmare ?"
"CaseyLemke","@USAirways never imagined it would be so hard to SPEND money through US Air. Stubbornly hoping someone will come back to the phone."
"soopermarkus","@SouthwestAir unfortunately no it's my lack of status that's the big problem. My company policy forces me to buy the cheapest tickets"
"kzone7","@JetBlue THANKS!! Her 80th bday is Saturday. We're having an aviation themed surprise party for her."
"llbeefpatties","@united flight attendant regains karma by giving big sweaty dad cold water. Guy was running &amp; carrying his daughter.  Last one onboard."
"wxmario","@SouthwestAir I got a phishing email claiming to be from Southwest. I can forward to you if you'd like to investigate."
"uncmnwellness","@united So publicly you asked for details on my flt. Sent you a DM like you asked and have yet (2 days) to hear from you. #unitedfail"
"TomFecteau","@JetBlue traveling w/ a rifle for a hunting trip can a pistol be in the same large rifle case too? Wasn't clear in freq asked questions"
"KatieLeonick","@JetBlue Awesome thanks! I'll give a call Late Flightr today. Appreciate the help!"
"SheilaShela10","@USAirways skys r sunny air is cold I can't wait to get to #CLT"
"MsKrysia","@SouthwestAir @FortuneMagazine friendliest employees"
"RodrigoATCG","@USAirways of course! ""Yeah travel has gotten harder. Ask other passengers if they will switch"" it's not the fact it's the attitude!"
"kzone7","@JetBlue That's why I love JetBlue! #truebluemember4life"
"smsuconn","@JetBlue i appreciate that. When i flew with you in January the check engine light came on right before take off. Now it is a computer."
"rachael_rhanna","@SouthwestAir @FortuneMagazine I always tell everyone to fly Southwest! Congratulations!!!"
"toscanoraul","@SouthwestAir please please please choose me to go see @Imaginedragons   #DestinationDragons"
"jodimgocubs","@USAirways another bad experience today.  Frozen pipes on 597.  Missing connection."
"leahmg2","@JetBlue great flight and crew! Flight 51 from BOS to MCO"
"SonyaSloanMD","@united #OrthoDoc on-call to in-flight! Glad to have been of service!"
"cahillwilliamr","@USAirways thank you"
"KIDwonder444","@USAirways 😂. Passed frustrated 4 hours ago after being asked to get off the first plane I sat on for an hour."
"MissMcB76","@united Over charged me one way for baggage.find out others leaving Pittsburgh with same equipment weren't charged Just hung up on me!!"
"riascott39","@USAirways left us. had to stay on other flight until they got bags off. This sucks. Had to run with a baby and bags!"
"jodimgocubs","@USAirways  will be stuck in PHX overnight.  Service is getting worse.  Flying southwest from now on."
"jjturlington","@SouthwestAir @FortuneMagazine well deserved!"
"MissMcB76","@united what a joke. Hang up on customers!!"
"smsuconn","@JetBlue dont get me wrong i love flying with you. Tv free bags and descent fares. The recent plane problems are just annoying."
"hipch1ck","@JetBlue never been delayed before; 533 to TPA out of BDL. Better safe than sorry. 💙 #lovejetblue #onlyblue #jetblueforever"
"Omnicom","@SouthwestAir @FortuneMagazine Congrats!"
"iammmadeux","@SouthwestAir SW rocks thanks for the reply and the follow. Rebooked earlier flight!"
"hvonschroeter","@united 3/10 disappointed in the service. Will be missing my connection after over an hour delay + cramped seats. At least their app is good"
"BitterEnd2013","@SouthwestAir @FortuneMagazine. I'm flying on one right this minute"
"CruiseEditor","@USAirways what's happening with 1217 Phl to LAX? Now 3 hr delay. Poor communication!"
"NicholasJamz","@SouthwestAir question all.  When will I receive my yearly bonus point accumulation? I think it's around now but not sure.  Thanks! :)"
"fattbelly","@VirginAmerica Comenity Bank is a joke!  Please change.  Nothing but constant problems with this bank"
"DillardJ32","@USAirways thank you for refunding my bag fee.  I look forward to its return today I hope."
"slaffere","@SouthwestAir please hire an efficiency consultant to manage your PHX baggage checkin. Way to many open kiosks with 100's of ppl waiting"
"smsuconn","@JetBlue yes he and all the princesses. Trying to get to the #glassslipperchallenge at WDW."
"pax7877","@SouthwestAir @FortuneMagazine Love SW forever😃💕😍⤴⤴"
"smsuconn","@JetBlue thank you!"
"KTmBoyle","@SouthwestAir having trouble reFlight Booking Problems a Cancelled Flighted flight. no one picking up phones and your site isn't working."
"erin_gilley","@SouthwestAir RUDE gate agent. Wholly unacceptable to us &amp; other passengers. Think this will be our last time on sw."
"MySnobbyCX","@SouthwestAir rude customer svc won't accommodate an earlier flight w/o $400 charge. US Mail takes priority over customers. #badservice"
"KTmBoyle","@SouthwestAir Can someone rebook me? Please direct message me."
"katxc","@SouthwestAir My DM won't go through but it is 261633561838. Please let me know if you need anything else."
"KP_Pearl","@united So far so good. Just stepped down in Denver. Next Stop Portland!"
"CaseyLemke","@USAirways will these prices be honored? Ive waited this 1 1/2 hours on hold to make sure I can still get the prices I originally started"
"akadish","@USAirways any updates on flight 1917 from Philly to LA?  Been sitting at gate for close to 2 hours"
"CakeNDeath","@USAirways on the DL send Ethan some new pants and some ""white revive"" laundry tabs. He's a great guy good crew he's just err single."
"idreamsilvia","@USAirways @CakeNDeath Question is will he and his lady behave..."
"melanie_seibert","@united Joni did a great job on flight 5653 to LAX. Thanks for a great flight."
"elloecho","@united yes when I landed."
"slackmistress","@united I got an email saying ""changes to my MileagePlus account are confirmed"" but I didn't make any changes. Help?"
"alexnazaryan","@JetBlue Utah I think. And thanks!"
"slackmistress","@united I have already emailed but I didn't know if it was more expedient to contact you here. Please advise. Thanks."
"PAIGER33","@united need to chat with an actual human ASAP!"
"TMP8622","@SouthwestAir I already follow you and can't DM because u need to follow me back"
"JerseyRic","@united  Need to change flight from this Tuesday to sooner to attend to ailing parent in FL Need help!! #custserv"
"emc3e17","@USAirways if you've got room on an earlier flight home why charge me $75 to get on it? Be the hero!"
"GinaMPassantino","@JetBlue What's up with lack coffee on 7:30AM flight. Was told someone forgot to load coffee onto the plane. What????? #INeedCoffee"
"riascott39","@USAirways got rebooked. Sent to A9. Wrong gate! Traveled back to B13 for correct flight. #tired&amp;frustrated"
"RichieG99","@USAirways what's the issue with flight 4420 from jax being delayed tonight?"
"MySnobbyCX","@SouthwestAir real sincere apology! Makes my day! Glad to know flying mail is more important than me. Never flying SW again! #badservice"
"EricLMitchell","@VirginAmerica  Flight Booking Problems last second flight for next week from SFO- to SAN any chance you want to gift me a promo code since I love you guys"
"JosephPMathews","@USAirways #tbt every day."
"0504Traveller","@SouthwestAir boarding passes now compatible with #iPhone #Passbook http://t.co/1ESmMnIZEk"
"erinpeep","@SouthwestAir That would be great. Thank you! I'll send it over when you follow."
"KarinSLee","“@VirginAmerica: @KarinSLee Of course. Have fun celebrating!” Thanks! Happy Chinese New Year!"
"0504Traveller","@VirginAmerica Adds Pillows Instead of Lie-Flat Seats in First Class Arms Race http://t.co/SfjDuahx9Z by @skift"
"0504Traveller","@SouthwestAir adding direct flights from #Columbus to #Oakland @BostonLogan http://t.co/p8Vcz4XTHM via @DispatchAlerts"
"MySnobbyCX","@SouthwestAir got ""duped"" w/ a connection on 1st flight (sneaky) now u won't give me a seat on an earlier flight w/ availability. Shameful"
"geekstiel","@SouthwestAir I can easily get to the Atlanta show I just need tickets help?!"
"jlittle100","@SouthwestAir thank you!!! #bringbacktheluvtordu #miami #directflights"
"theheathmcnasty","@usairways if you could change your name to @southwestair and do what they do...that'd be awesome. Also this plane smells like onion rings."
"ScottPaterno","@USAirways How about moving my seats to where I bought them 4 months ago? This happens far too often..."
"GinaMPassantino","@JetBlue What else could possibly take the place of coffee at that hour??Hope pilot wasn't relying on aircraft for caffeine. #needcoffee"
"kimmck64","@SouthwestAir ..just booked trip to Cancun...❤️ no baggage fees..but need to have more flight time options"
"RichieG99","@USAirways sorry I meant flight 4420 which was supposed to depart at 5:00 now says 6:30. What is the issue?"
"kylry","@united Flight delayed 40 minutes in ORD because plane didn’t have all the food. That should be fixed in the future. It’s a dumb delay."
"geekstiel","@SouthwestAir wouldn't it be awesome for my first time flying to be #DestinationDragons?!"
"SupermanHopkins","@SouthwestAir I owe you an apology. My tweet was out of frustration not constructive criticism. I'm a SW fan &amp; LOVE your service!"
"SaintAwesome504","@united I guess that's not the busiest route so based on traffic/fuel costs regional jet is the decision but still not great 4 travelers."
"NathanNmred4","@united @perfectomobile Definately not an award for employer of the year #united13"
"SupermanHopkins","@SouthwestAir Again please accept my apologies for my lame childish tweet. You didn't deserve that &amp; I remain a LOYAL SW customer!"
"riascott39","@USAirways 657. My daughter Candice and I are together with her baby."
"GinaMPassantino","@JetBlue As long as someone remembers to put it on plane right? That was a really lame excuse.Geez @JetBlue can do much better #coffeeneeded"
"kim_blake","@USAirways flight was full.  1 open middle seat.  Did not want to sit there.  What is your policy?"
"mightymeesh","@VirginAmerica currently in minute 10 of being on hold with cust. service. Do I need to do anything to add a lap child to my reservation?"
"davedunlap","@SouthwestAir A little surprised my Early Bird got me B15 from DEN to KC just now. Worst I've had. What's up?"
"morrisls","@united There is only one club at LAX  - in terminal 7 across from gate 71"
"AndavoTravel","@united Airlines is changing #mileageplus program March 1 http://t.co/4ojE523PTw"
"LondonBrushCo","@VirginAmerica delayed to10.30!!"
"DMSHIPMAN915","@united messaged you as requested- and called your baggage team again. It's STILL in Newark. please help or let me know next steps!!"
"Ssanchik","@united whom can I call to discuss - as I was told that united has no phone contact with passengers  - this is absurd..."
"bambiweavil","@USAirways I've been on a music hold for over a hour trying to get my AAdvantage membership merged can someone please call me ASAP?"
"itshosey","@SouthwestAir I pay for a service to be delivered. Whether or not it is your fault shouldn't there be some sort of compensation?"
"riascott39","@USAirways that's where we are now. Thank you."
"davedunlap","@SouthwestAir Yes I know that. Also noticed you offer A list boarding after A60. So your programs are too popular."
"ohrebeca","@SouthwestAir are there any flights from MSP to HRL in March? I'm looking at 3/19-3/23"
"estellevw","@united Can i get a refund? I would like to book on a better airline."
"jetland","@USAirways. On phone hold for 30+ mins trying to speak to an agent. Can't change reservation online. Sigh. #badcustomerexperience"
"dtndtndtndtn","@USAirways Was just on hold with you all for TWO HOURS and then got hung up on. oh my god."
"Jaaaarin","@southwestair this inflight WIFI is the absolute worst. I'd be willing to have paid double for dialup speeds...  #Flight7"
"Matthewbenz","@VirginAmerica your Avis rental continue button doesn't work on your website to book car. Tried 4 times on phone.  This sucks!"
"ellieINchicago","@united you need to follow me I order for me to DM...."
"YeahNoPriesty","@united your customer service is lacking and you owe me a @GoPro camera. I also appreciate not being interrupted every time I speak Thanks"
"TheLalaine","@SouthwestAir is really stepping up their ""service""🐩 http://t.co/VQTyza6Mzu"
"sherrirosen","@united I must stop my relationship with you. You've become greedy and heartless and our long term relationship is over"
"aemccollum","@USAirways  Lilly M in SJU check in is fabulous!"
"JerseyRic","@united need assistance to change flight to get to an ailing parent..have flight leaving Tuesday need to change ASAP to sooner #custserv"
"CruiseEditor","@USAirways 1917. Still sitting here. Feels badly handled."
"27_POWERS","@united They inquire and then do nothing about it...pretend they’re interested. Responded to your DM and no response back..."
"evelynsarah","@JetBlue is giving us free movies because apparently the dunkin donuts coffee is a safety hazard. #thingsyoucantmakeup #switch2SBux?"
"ohrebeca","@SouthwestAir no flights to HRL :( is this a limited route?"
"mightymeesh","@VirginAmerica got it squared away. Someone picked up as soon as I tweeted. Should have tweeted sooner. 😉"
"dwitb","@SouthwestAir great news for @PortColumbusCMH today. Finally Columbus' top unserved market will have flights."
"nabia90","@united airlines delayed our flight on the way to Chicago and leaving Chicago. Next time @Delta it is."
"z1y2x3","@united @perfectomobile You really shouldn't use the word 'crashing.' Just sayin'."
"DeltaBravo33","@united Yes ! :D (Y) From @therealaviation on Instagram :)"
"covika","@SouthwestAir Why doesn't mean TSA PreCheck show up on my mobile boarding pass? My KTN is linked to my account."
"stewartmramsay","@united flt 1583 EWR to SFO excellent service. Friendly flight attendants. made the 6AM flight a very good start to the day."
"PAIGER33","@united unfortunately that doesn't help. Just an automated computer."
"Suejacken","@USAirways  I have a party of 4 booked for a flight in Aug. At 10:05am how can I find out how much it would cost to change to an earlier fl"
"MsPersia","@SouthwestAir yes can do"
"wmrrock","@VirginAmerica on flight VX399 headed to LA from JFK - dirtiest VA plane I have ever been on. Sad for a great airline."
"NYtoBalt","@SouthwestAir thank you for always going above and beyond with your customer service!!!!!! #favoriteairline #luvforSW #southwestAir"
"RPM044","@USAirways I've been on hold for 36 mins and counting cause you charged my credit card for bag but provided no receipt and said error. Awful"
"JerseyRic","@united  RES # 0167560070877     Fsqthg   Thanks"
"TheBIGCafeteria","@united I'm a UA 1k. I think it's @iamtedking who was looking for help"
"wmrrock","@VirginAmerica on VX399 from JFK to LA - dirty plane - not up to your standards."
"Ssanchik","@united Contacted yesterday and was told that there's nothing they can do - they suggested I email for some compensation ??? cust service???"
"X713","@SouthwestAir great cabin and flight crew this morning on #578. A great smile and happy staff are signs of a happy company. Thanks."
"MDL_LMU","@USAirways is this accurate? Safety guide shown no MP3 player usage during takeoff and landing. http://t.co/Nvk3IrG4KP"
"305Josec","@JetBlue be flying soon to NYC on your airline of all airlines I've flown you're still #1 to me 😊😊😊✈️✈️✈️"
"kavemankan94","@SouthwestAir is the best airline out there no one is better than them #OneLove #Southwest #bestairline"
"VictoriaJacobs","@SouthwestAir AMAZING c/s today by SW thank you SO very much. This is the reason we fly you #southwest"
"MinderJoan","@SouthwestAir This is unbelievable... Thank you so much! #DestinationDragons"
"twitabuggin","@USAirways - so far so good this week. SAV to CLT boarded BEFORE the departure time (first time in 4 weeks). Perhaps an on time departure?!"
"jong_pj","@united You're welcome."
"theo","@united I was abused  threatened and forced to travel in a lower cabine (last seat) in yesterday's flight from Houston to Sao Paulo"
"jkentakula","@united @perfectomobile huh?  I have sent 16 crash reports in Feb alone.  8 in one day.  Only app I have that consistently crashes."
"Bigtopher","@SouthwestAir surprise surprise more delays. Seems to be the norm.  Broken down equipment."
"streetsmartsmom","@SouthwestAir Report was filed but would like to support some active searching.  Feels pretty passive now.  Info on computer is precious."
"theo","@united of the airplane otherwise they would call the Police because the flight had to take off before 12h30am"
"PaulBEsteves","@united Death in the family cannot make flight tomorrow. Phone rep quoted $440 per person fee which is almost the cost of ticket. Help?"
"MySnobbyCX","@SouthwestAir @BrittanyOBX11 keeping families apart w/ your quirky archaic policies. Any other airline accommodates in this situation."
"Kbaiocchi","@SouthwestAir you need to get your act together. You new this morning at 830 our plane was malfunctioning. Yet I've been delayed 3 times .."
"BrianKal","@JetBlue what's up w flt 4? Brothers fiancé sitting on board for 30mins w tech  issues."
"Kbaiocchi","@SouthwestAir not to mention I now have to sit in the airport for 4 hours. You've ruined my trip. I am not happy and want compensation."
"Kbaiocchi","@SouthwestAir and YOUR costumer service representative lied to me and ensured me the plane would be leaving by 330.. It's scheduled for 455"
"danteusa1","@USAirways I have 2d and 3d embossed badges and patches superior to the ones you are currently using. http://t.co/3fq3XElbOn"
"BTMarleyCoffee","@united that would be great"
"Kbaiocchi","@SouthwestAir there is a good chance myself nor anyone else in this airport will ever be Flight Booking Problems southwest again.."
"canmoregolfer","@united Thank you for responding so promptly! I look forward to the 240 kms drive to the office to file a claim."
"Bigtopher","@SouthwestAir yeehaw. You found us another plane.  Thx for listening to me vent."
"Brennej","@united - why am I sitting on this plane for an hour after scheduled takeoff without a cloud in the sky? #keepusguessing #isthisyourfirsttry"
"danteusa1","@united I have 2d and 3d embossed badges and patches superior to the ones you are currently using. http://t.co/3fq3XElbOn"
"NoviceFlyer","@United  great way to start my vacation with an on time departure! Looking forward to my global first class suite!"
"Kbaiocchi","@SouthwestAir if this flight is Cancelled Flighted or delayed any further I expect full compensation for my park ticket hotel &amp; flight.."
"nicolasmm","@united to DM you I have to follow you and I'm not doing that. Plus they're no more options. That's why I had to fly with you. #epicfail"
"cahillwilliamr","@USAirways #success made flight  please thank the crew of 556 great time recovery"
"ResearchDad","@united your Airbus a320 seats are awful. They don't recline."
"heffery","@SouthwestAir is awful. They have lost my bag and aren't providing any info. This is day 3 and nothing. #WORSTAIRLINEEVER"
"danteusa1","@VirginAmerica I have 2d and 3d embossed badges and patches superior to the ones you are currently using. http://t.co/3fq3XElbOn"
"CeceliaNBrady","@SouthwestAir  3 flights yesterday; no treats but nuts and pretzels. Also no origami in the magazine. New policies? #OldPoliciesWayBetter"
"slevine17","@JetBlue Ever consider coming to Memphis?  Need some TrueBlue service and fares badly!!"
"aaronaebie","@SouthwestAir now flying non stop CMH-OAK has me daydreaming about a trip to the bay...especially in this weather. #OhioProbz"
"iamtedking","@united no I have a pricey Chase Mileage Plus CC."
"dweber15","@USAirways @AmericanAir no don't leave me!!!"
"Jewelsia26","@united Case ID 8544484"
"danteusa1","@SouthwestAir I have 2d and 3d embossed badges and patches superior to the ones you are currently using. http://t.co/3fq3XElbOn"
"RPM044","@USAirways they finally answered. They were rude and didn't help me at all."
"eromolizzy","@USAirways I've called to resolve my dividend miles issue for a week to no avail.  Please advise ASAP."
"I_AM_Tipton","@USAirways @AmericanAir for frequent flyer miles can we schedule interchangeably and get credit?"
"AnthonysEdits","@JetBlue I love you"
"chase_f","@VirginAmerica Done but I need the receipt ASAP. Could you please help? #150219-000114"
"AdamJEstep","@AlbertBreer just so you know who to complain to ;-) RT @USAirways: Reminder: From 2/28 we’ll be tweeting from @AmericanAir."
"Dflaherty88","@USAirways thanks for telling me my flight was on time when the plane was broken. You're an inferior airline."
"trixywh","“@USAirways: Reminder: From 2/28 we’ll be tweeting from @AmericanAir. You should join us: http://t.co/WBMHRl3bvl"
"souleyoga","@united even so change could not be made  online- instructed to call an agent- maybe the syastem should allow agents 2 link passengers!"
"NY_US","@JetBlue i am sharing it to the public. I fly 20 times a year and sitting now on the tarmac in fll. Your staff is the worst i ever met."
"Suejacken","@USAirways thanks"
"slevine17","@JetBlue Sent my suggestion and comments via the link provided.."
"jaredmatfess","@united @estellevw does she need to complain on Twitter for the refund or is it auto-applied?"
"lyteforce","@JetBlue Just looking to arrange for a nice flight from SEA to LA-ish and comparing the cost to something more direct from YVR."
"syndscu","@USAirways I'll sincerely regret Dividend miles! Good things coming to an end :("
"lyteforce","@JetBlue There's just so many choices for y'all south of the border and I know not every airline is equal - lowest price != best value. ;)"
"OhYouLanceyHuh","@SouthwestAir why must the 4:45pm nonstop BOS-BNA flight stop running after August 7???"
"EmmaTyrer","@USAirways Stuck in Philadelphia airport for 32 hours due to ""maintenance"". Dreading my flight back home. Disgusting."
"JasonWhitely","THE END: RT @USAirways: Reminder: From 2/28 we’ll be tweeting from @AmericanAir. You should join us: http://t.co/NBpCJCpEW9"
"MissMcB76","@united I have been denied. Not sure how you charge $150 one way then $25 on way hime"
"LeanneComedy","@united so sorry. I ended up on US Air flight. Thank you though for getting back to me:)"
"NY_US","@JetBlue it's noting about me i m perfectly fine it's the attitude and dealings with flyers. Stubborn. Demanding. Unwilling to accommodate."
"_TheRobynShow","@JetBlue doesn't help if I have to fly on specific days"
"marmaidz","@united I'm a minor and freaking out bc I might not make my connecting flight to Hawaii so yes I'm frustrated"
"HammerStahl","@USAirways what an amazing day. Delayed 4 hrs bc frozen h2o on plane Now sitting @ gate on same plane 4 30 mins still waiting! #flight1797"
"sbgblee","@JetBlue flight attendant Wendi on Flt 127 on 2/17 Newark to Orlando.  👍👍"
"peteeustic","@united you do realize my wife is waiting on a delayed flight at this very moment.  I'm not sure I understand your tweet."
"Darren_howudoin","“@USAirways: Reminder: From 2/28 we’ll be tweeting from @AmericanAir.  http://t.co/mFMNKmvOTR”RT I look 4ward to that follow back too!"
"njsummerBREEze","@united your website was down all day yesterday- tried 3x put all info in&amp;didnt go thru- today the flight I bought went up!"
"MinderJoan","@SouthwestAir Scott is the best!!! Thank yo from the bottom of my heart💕#DestinationDragons with friends in LA @HayleyMad see u Friday"
"CuteMonsterDad","@virginamerica Digging the swanky pink mood lighting during the flight from NYC to SFO.  Just needs a cabaret singer.  Think about it!"
"TkerVker","@SouthwestAir Is your BWI-SJD service seasonal? Wasn't part of extension. Called intl desk. They didn't know. Want to fly in Sept on Sat."
"_kristenicole_","@VirginAmerica ok! first time flying with you tonight :)"
"vincentpowell","@SouthwestAir following!! My bad."
"bryceadvice","@SouthwestAir #DestinationDragons @Imaginedragons I'm a HUGE FAN! I would love tix to your show!"
"LVGully","@SouthwestAir A-List Pref credit card holder called exclusive # and hung up after on hold for 14 min. What gives???"
"bryceadvice","@SouthwestAir @Imaginedragons #DestinationDragons Any tix to spare? I wanna go see the show on Friday in LA with my friend @HayleyMad!"
"nickpasculli","@USAirways there has been NO one at the Yuma ticket counter for 30 minutes and there are about 30 people in line. Terrible service!!!"
"jenny0z","@united nonrefundable hence I wrote $200! Doesn't make sense for my 150 credit. #nothanks"
"ousoonerfanatic","@USAirways @americanair I feel sorry for AA"
"nickpasculli","@USAirways some people in line have been waiting 55 minutes for a customer service representative"
"jennihnp","@SouthwestAir What's with the pricing cache?! About to book a flight refreshed the page &amp; the price jumped from $73 to $159. Ridiculous. 😑"
"mattjay_son","@JetBlue Why would you charge money to transfer points to someone?"
"dahriowonder","@SouthwestAir your A-list program is a complete JOKE! Your company does not value loyal customers.Time to look for another ""go-to"" airliner"
"nickpasculli","@USAirways now you have over 50 people in line. This is stupid!!! What the heck!"
"ljsbrooks","@united still waiting for a response on whether or not you allow use of a rear facing car seat on an ERJ145."
"altadenadad","@USAirways can you DM me &amp; add me to the upgrade list for a flt tonight?"
"nickpasculli","@USAirways over an hour now and still no one at the Yuma counter"
"Rgulojr","@VirginAmerica of course! I work for @VirginAtlantic and I'm obsessed with the entire Virgin family!!"
"MissMcB76","@united no it weighed 45.5 and it was the only checked bag"
"EmmaTyrer","@USAirways No I got to Philly on Monday and got to my final destination South Carolina on Wednesday. Its not acceptable."
"mattdole24","@USAirways @OBJ_3 even airlines are scheming to get a follow from OBJ LMAOOO 😂😂😂😂"
"geekstiel","@SouthwestAir Do you perhaps have a pair to the Atlanta show? #prettyplease"
"Ssanchik","@united DM the conf # to you - did you receive it?"
"EmmaTyrer","@USAirways My flight cost me just under $800 and this is what happens? I fly with @united and have no problems. I come the US 4-5 times..."
"JimmyisAble","@USAirways was switched to an American Airlines flight not by choice and now I am charged $50 for bags? Thought y'all merged?"
"EmmaTyrer","@USAirways a year and every time with US Air something happens. I sat waiting for a re-scheduled flight for 10 hours then to say its"
"mattjay_son","@JetBlue Pooling and gifting are completely different.  I shouldn't have to be charged $375 to send points.  Its disgusting."
"geekstiel","@SouthwestAir please help me get tickets to the @Imaginedragons club show in Atlanta?! #DestinationDragons"
"pjarnold","@SouthwestAir suggestion- shades on the windows @KCIAirport so travelers won't have to watch ur luggage handlers throwing their bags around"
"EmmaTyrer","@USAirways Cancelled Flightled due to maintenance. The plane was there for 10 hours. Get your shit together because there are a lot of people unhappy."
"diansnyder","@USAirways yes travel is complete flight 5095 from CLT to CAK Feb 18"
"erinthetraveler","@JetBlue any thoughts on waiver of change fees for travel out of Boston this weekend?"
"diansnyder","@USAirways no problem...just funny have a nice day"
"geekstiel","@SouthwestAir do you have a pair of tickets to the @Imaginedragons show in Atlanta?! I'd love to go! #DestinationDragons"
"giannilee","Bruh “@VirginAmerica: @giannilee Turn down for what. #VXSafetyDance”"
"nickpasculli","@USAirways 1 person to check in 50 people and the plane boards in 20 minutes and he is telling people @AmericanAir exec bene's not honored"
"MajorPaayne","@VirginAmerica i would like help with some flights please."
"boscott73","@SouthwestAir thanks for your attention I've been flying southwest for 3 years and haven't had this issue in the past."
"mattjay_son","@JetBlue Alternatives?  You have absolutely no respect for loyal customers.  8 years.  No more.  I'm done."
"christinerimay","@united Need to track lost luggage being shipped to me. Need ph # for human. Not automated 800-335-2247."
"alexster4324","@SouthwestAir can I get some luv with a fallow?"
"vina_love","@united I sent you a dm hours ago"
"TkerVker","@SouthwestAir Thanks I get that. It looks like all BWI-SJD services stops after Aug 7. Is that the case? I cant find one date with flights."
"MissMcB76","@united we followed the baggage rules on your website and was still charges $150. But only going one way"
